Vertices;Edges;Density;Threads;TimeMs;Speedup
50000;100000;2;1;13.9466;0.7538
50000;100000;2;2;18.4121;0.5709
50000;100000;2;3;19.3386;0.5436
50000;100000;2;4;19.1791;0.5481
50000;100000;2;5;22.8859;0.4593
50000;100000;2;6;26.1709;0.4017
50000;100000;2;7;27.8246;0.3778
50000;100000;2;8;27.8330;0.3777
50000;100000;2;9;27.9482;0.3761
50000;100000;2;10;27.1529;0.3871
50000;100000;2;11;28.9230;0.3635
50000;100000;2;12;29.1091;0.3611
50000;100000;2;13;28.7665;0.3654
50000;100000;2;14;29.1071;0.3612
50000;100000;2;15;29.8227;0.3525
50000;100000;2;16;28.8149;0.3648
50000;100000;2;17;28.7560;0.3656
50000;100000;2;18;29.3719;0.3579
50000;100000;2;19;28.5493;0.3682
50000;100000;2;20;28.2578;0.3720
50000;100000;2;21;29.0344;0.3621
50000;100000;2;22;28.3626;0.3706
50000;100000;2;23;28.9240;0.3634
50000;100000;2;24;30.1312;0.3489
50000;500000;10;1;128.6748;0.7656
50000;500000;10;2;71.5973;1.3759
50000;500000;10;3;52.6489;1.8710
50000;500000;10;4;55.2541;1.7828
50000;500000;10;5;66.5489;1.4802
50000;500000;10;6;64.4368;1.5288
50000;500000;10;7;65.8436;1.4961
50000;500000;10;8;68.4732;1.4386
50000;500000;10;9;69.3610;1.4202
50000;500000;10;10;67.2450;1.4649
50000;500000;10;11;66.0346;1.4918
50000;500000;10;12;65.9929;1.4927
50000;500000;10;13;67.4156;1.4612
50000;500000;10;14;67.3083;1.4635
50000;500000;10;15;65.8974;1.4949
50000;500000;10;16;65.3249;1.5080
50000;500000;10;17;65.9183;1.4944
50000;500000;10;18;66.1671;1.4888
50000;500000;10;19;68.5077;1.4379
50000;500000;10;20;66.9311;1.4718
50000;500000;10;21;66.2083;1.4879
50000;500000;10;22;66.3311;1.4851
50000;500000;10;23;66.8291;1.4740
50000;500000;10;24;65.8853;1.4952
50000;5000000;100;1;1270.8621;0.7529
50000;5000000;100;2;699.1043;1.3686
50000;5000000;100;3;523.7724;1.8268
50000;5000000;100;4;453.7650;2.1086
50000;5000000;100;5;402.8768;2.3750
50000;5000000;100;6;380.4916;2.5147
50000;5000000;100;7;581.4399;1.6456
50000;5000000;100;8;419.3072;2.2819
50000;5000000;100;9;398.3422;2.4020
50000;5000000;100;10;298.4930;3.2055
50000;5000000;100;11;310.8454;3.0781
50000;5000000;100;12;295.3879;3.2392
50000;5000000;100;13;301.3678;3.1749
50000;5000000;100;14;294.5125;3.2488
50000;5000000;100;15;282.4207;3.3879
50000;5000000;100;16;283.2129;3.3784
50000;5000000;100;17;290.5960;3.2926
50000;5000000;100;18;281.0627;3.4043
50000;5000000;100;19;277.6289;3.4464
50000;5000000;100;20;281.8845;3.3944
50000;5000000;100;21;281.3651;3.4006
50000;5000000;100;22;278.5801;3.4346
50000;5000000;100;23;283.8486;3.3709
50000;5000000;100;24;286.4280;3.3405
150000;300000;2;1;112.5084;0.8096
150000;300000;2;2;86.7163;1.0504
150000;300000;2;3;70.5119;1.2918
150000;300000;2;4;87.8563;1.0368
150000;300000;2;5;96.7097;0.9419
150000;300000;2;6;101.3845;0.8984
150000;300000;2;7;110.1306;0.8271
150000;300000;2;8;113.8278;0.8002
150000;300000;2;9;113.7413;0.8008
150000;300000;2;10;110.2479;0.8262
150000;300000;2;11;114.3318;0.7967
150000;300000;2;12;114.3337;0.7967
150000;300000;2;13;114.3016;0.7969
150000;300000;2;14;113.3026;0.8039
150000;300000;2;15;118.0447;0.7716
150000;300000;2;16;113.3003;0.8039
150000;300000;2;17;115.0852;0.7915
150000;300000;2;18;113.8528;0.8000
150000;300000;2;19;116.2415;0.7836
150000;300000;2;20;112.8083;0.8075
150000;300000;2;21;91.6646;0.9937
150000;300000;2;22;113.5820;0.8020
150000;300000;2;23;115.1203;0.7912
150000;300000;2;24;115.9406;0.7856
150000;1500000;10;1;512.0444;0.8718
150000;1500000;10;2;289.4540;1.5423
150000;1500000;10;3;227.2163;1.9647
150000;1500000;10;4;231.9021;1.9250
150000;1500000;10;5;194.7170;2.2926
150000;1500000;10;6;230.8914;1.9334
150000;1500000;10;7;220.0976;2.0283
150000;1500000;10;8;212.6176;2.0996
150000;1500000;10;9;210.8399;2.1173
150000;1500000;10;10;210.4791;2.1209
150000;1500000;10;11;209.9586;2.1262
150000;1500000;10;12;209.7135;2.1287
150000;1500000;10;13;208.6686;2.1393
150000;1500000;10;14;209.1447;2.1345
150000;1500000;10;15;209.1395;2.1345
150000;1500000;10;16;206.9609;2.1570
150000;1500000;10;17;204.1095;2.1871
150000;1500000;10;18;211.3562;2.1121
150000;1500000;10;19;213.2398;2.0935
150000;1500000;10;20;208.8189;2.1378
150000;1500000;10;21;208.3723;2.1424
150000;1500000;10;22;214.2695;2.0834
150000;1500000;10;23;208.6786;2.1392
150000;1500000;10;24;208.8006;2.1380
150000;15000000;100;1;4731.0605;0.8012
150000;15000000;100;2;2498.6834;1.5169
150000;15000000;100;3;1847.7760;2.0513
150000;15000000;100;4;1533.8286;2.4712
150000;15000000;100;5;1411.3321;2.6856
150000;15000000;100;6;1292.0605;2.9335
150000;15000000;100;7;1129.4725;3.3558
150000;15000000;100;8;994.0976;3.8128
150000;15000000;100;9;959.0780;3.9520
150000;15000000;100;10;979.0570;3.8714
150000;15000000;100;11;936.0100;4.0494
150000;15000000;100;12;959.4682;3.9504
150000;15000000;100;13;966.3530;3.9223
150000;15000000;100;14;971.0654;3.9033
150000;15000000;100;15;967.4286;3.9179
150000;15000000;100;16;969.6551;3.9089
150000;15000000;100;17;973.0544;3.8953
150000;15000000;100;18;970.4828;3.9056
150000;15000000;100;19;980.5237;3.8656
150000;15000000;100;20;972.5451;3.8973
150000;15000000;100;21;959.4651;3.9505
150000;15000000;100;22;972.5435;3.8973
