Vertices;Edges;Density;Threads;TimeMs;Speedup
500000;50000000;100;1;4507.5746;0.8490
500000;50000000;100;2;2517.9254;1.5199
500000;50000000;100;3;1951.7870;1.9608
500000;50000000;100;4;1602.4308;2.3883
500000;50000000;100;5;1358.4358;2.8173
500000;50000000;100;6;1319.2437;2.9010
500000;50000000;100;7;1207.5889;3.1692
500000;50000000;100;8;1101.1118;3.4756
500000;50000000;100;9;1120.2209;3.4164
500000;50000000;100;10;1104.2779;3.4657
500000;50000000;100;11;1108.4770;3.4525
500000;50000000;100;12;1129.5791;3.3881
500000;50000000;100;13;1121.2554;3.4132
500000;50000000;100;14;1087.1351;3.5203
500000;50000000;100;15;1078.1471;3.5497
500000;50000000;100;16;1103.5260;3.4680
